nome do filme,data lançamento,gênero,duração (min),origem,receita fim semana abertura,receita noite abertura,orçamento,custo marketing
Chronicles,2022-06-23,fantasy,117,Japão-Osaka,34.63,7.35,50.51,35.44
Neon: Afterlight,2020-04-09,thriller,110,EUA-NM,21.62,9.86,34.18,15.66
Frontier: Origins,2019-02-05,western,121,EUA-NY,8.49,2.22,7.93,3.79
Pulse,2018-09-28,action,133,Brasil-SC,85.36,37.61,155.3,114.01
Paws 2,2019-04-27,animation,85,EUA-GA,13.4,3.3,14.21,5.33
Mirage,2020-02-27,thriller,133,EUA-NY,17.15,6.08,21.55,5.38
Rush 3,2022-05-20,action,119,EUA-PA,55.99,24.47,46.98,35.53
Voyage,2021-10-07,adventure,112,EUA-GA,24.43,4.4,47.95,15.51
Eclipse,2019-10-25,sci-fi,122,Japão-Kanagawa,111.62,32.11,188.46,151.82
Echo,2019-08-22,drama,81,Reino Unido,9.84,2.41,11.43,3.0
Harmony,2023-10-26,romance,124,EUA,11.26,4.24,14.86,6.96
Rift 6,2019-10-17,sci-fi,128,EUA-IL,25.69,6.98,33.61,18.39
Harmony,2021-02-12,romance,98,Reino Unido-NIR,16.02,4.29,26.67,7.86
MegaPik Mirage: Uprising,2018-12-02,thriller,119,EUA-NY,13.25,5.3,18.96,6.23
MegaPik Frontier: Reckoning,2022-05-27,western,106,EUA-LA,23.97,8.72,15.76,8.52
Chronicles 3,2021-11-05,fantasy,108,EUA-NM,40.18,15.33,39.44,21.33
Voyage,2021-05-14,adventure,133,França-NAQ,32.02,9.15,50.23,35.68
Pulse: Origins,2021-09-07,action,112,Japão-Osaka,29.0,11.09,39.99,31.26
Chronicles: Uprising,2020-11-10,fantasy,139,Brasil-PB,31.85,10.57,55.96,14.62
Quantum,2018-02-19,sci-fi,120,EUA-NY,41.75,11.87,52.91,41.51
Neon,2010-10-28,thriller,111,Brasil,19.72,5.86,28.0,13.26
MegaPik Storm 4,2021-08-25,action,133,EUA-GA,23.59,8.12,31.35,17.49
Storm,2015-11-12,action,132,Coreia do Sul-Busan,31.03,14.58,32.86,23.62
Embers: Afterlight,2019-07-16,drama,118,Brasil-MG,2.78,0.63,1.43,0.45
MegaPik Haunt,2017-03-10,horror,89,EUA-LA,12.79,6.01,14.96,5.82
MegaPik Embers: Reckoning,2013-10-11,drama,78,Brasil-CE,7.85,2.55,11.16,2.97
Voyage,2017-08-04,adventure,126,Brasil-GO,17.53,7.3,27.8,14.38
Voyage,2023-01-06,adventure,114,EUA-IL,43.01,13.63,70.89,36.09
Haunt,2020-06-21,horror,92,EUA-TX,19.29,6.81,14.95,9.37
Odyssey 2,2018-10-25,adventure,114,Reino Unido-SCT,19.83,4.47,19.66,10.17
Quantum,2021-12-16,sci-fi,123,Brasil-PE,50.0,14.32,38.59,21.46
Eclipse,2017-08-17,sci-fi,131,Brasil-PE,29.0,11.06,28.69,23.85
Harmony,2021-07-22,romance,108,EUA-NM,11.47,3.53,14.0,3.39
Embers,2012-09-27,drama,134,Índia,6.01,1.84,6.8,1.26
Harmony: Afterlight,2020-01-27,romance,123,EUA-IL,5.66,1.66,14.89,2.25
Mirage 2,2023-10-19,thriller,107,Canadá-QC,29.47,8.23,24.49,17.65
Rift 2,2023-07-04,sci-fi,133,EUA-IL,29.46,13.96,34.91,29.25
Mirage,2024-12-05,thriller,100,Reino Unido-ENG,45.93,10.15,31.38,23.52
Mirage 3,2019-03-08,thriller,96,Brasil-PB,17.6,5.29,35.39,16.58
Pulse: Legacy,2023-09-08,action,128,EUA-MA,33.43,10.43,35.4,32.51
MegaPik Shadow: Horizons,2023-05-18,thriller,111,Brasil-RJ,31.6,14.95,36.7,15.67
Aurora,2022-11-10,fantasy,138,EUA-LA,30.77,11.22,59.0,21.94
Haunt 2,2014-05-01,horror,86,EUA-PA,14.01,4.91,15.85,8.89
Echo,2015-07-25,drama,121,Nigéria-Lagos,7.63,2.58,5.6,0.74
Odyssey 3: Uprising,2019-07-03,adventure,124,EUA-NM,49.44,18.97,55.46,25.07
MegaPik Shadow,2024-05-26,thriller,107,Reino Unido,26.29,9.04,20.67,12.77
Aurora 2,2020-09-19,fantasy,121,Japão-Osaka,33.75,9.81,69.92,31.41
Paws,2020-12-10,animation,112,EUA-WA,37.21,12.13,39.45,28.36
Odyssey,2018-06-14,adventure,128,EUA-WA,34.38,11.8,51.53,35.66
Rush,2022-06-02,action,143,Brasil,94.83,32.45,116.93,57.59
Haunt: Afterlight,2012-06-18,horror,104,EUA-CA,1.19,0.48,0.64,0.33
MegaPik Chronicles 6: Horizons,2016-01-07,fantasy,118,Brasil-PB,16.04,5.43,18.4,9.31
Eclipse: Revenant,2016-06-09,sci-fi,132,Reino Unido-NIR,40.5,12.11,35.42,26.92
MegaPik Eclipse,2018-10-25,sci-fi,125,EUA-NY,26.06,9.54,21.01,13.44
Rift: Eclipse,2018-09-15,sci-fi,132,Japão,67.89,20.33,134.74,80.47
MegaPik Neon,2012-11-01,thriller,111,Brasil-RJ,20.18,7.91,20.34,7.81
Paws,2025-06-20,animation,94,Coreia do Sul-Seoul,33.44,10.99,49.99,20.08
Echo,2025-11-27,drama,128,Reino Unido-NIR,6.16,1.94,7.52,1.85
Rift 2,2021-07-01,sci-fi,149,Brasil-MG,58.6,27.57,58.67,55.95
Eclipse,2018-10-13,sci-fi,133,EUA-NY,30.14,12.64,41.12,30.6
Chronicles,2021-12-16,fantasy,117,EUA-CA,14.42,5.19,22.71,9.06
Embers,2022-01-18,drama,141,Brasil-AM,7.92,2.82,9.77,2.4
Embers,2021-02-11,drama,101,EUA-MA,9.15,2.56,22.45,4.59
Neon: Reckoning,2016-01-28,thriller,113,EUA-TX,9.4,3.62,16.13,7.96
Rush: Afterlight,2019-08-07,action,123,Brasil-AM,43.05,14.08,47.0,27.98
Chronicles: Uprising,2022-04-07,fantasy,155,Reino Unido-NIR,27.62,7.71,40.33,25.9
Paws,2023-05-03,animation,91,EUA-NY,29.54,7.72,45.57,22.39
MegaPik Harmony,2015-01-29,romance,107,Coreia do Sul,10.97,3.32,20.74,8.38
Rush 5,2020-02-20,action,115,EUA-WA,39.42,10.97,38.37,16.38
Odyssey 5,2016-08-05,adventure,120,EUA-MA,36.33,10.88,44.98,33.79
Echo,2016-10-20,drama,117,EUA-LA,6.67,1.49,7.93,0.9
Chronicles,2018-05-20,fantasy,133,EUA-GA,62.78,15.02,95.14,62.53
Neon: Revenant,2019-10-25,thriller,93,Espanha-CAT,11.59,3.73,10.43,4.24
Harmony,2018-02-08,romance,116,Brasil-SC,12.18,4.32,13.81,6.2
Frontier,2022-02-18,western,113,EUA-LA,12.39,2.39,21.01,9.82
Shadow,2017-10-13,thriller,97,EUA-TX,32.15,10.84,36.26,14.77
Harmony,2021-10-26,romance,102,EUA-WA,13.42,2.42,12.65,5.38
Voyage,2012-10-11,adventure,121,Espanha,17.63,4.85,28.45,14.87
Neon 2,2017-07-27,thriller,106,EUA-NY,16.15,5.83,21.56,7.53
Paws 2,2025-06-13,animation,93,Japão-Tóquio,39.68,12.66,41.74,14.1
Voyage: Eclipse,2019-05-09,adventure,114,Brasil-SP,30.76,10.67,22.67,14.73
Chronicles,2010-10-18,fantasy,138,Japão-Kanagawa,19.73,6.37,42.79,10.5
Rush 4,2024-08-16,action,137,EUA-LA,43.45,13.51,36.35,17.92
Mirage,2018-04-19,thriller,112,EUA-CA,13.21,5.33,16.56,7.37
MegaPik Eclipse: Origins,2019-03-15,sci-fi,115,EUA-LA,37.92,15.83,57.29,14.48
Voyage 2,2016-02-25,adventure,132,EUA-CA,13.79,5.25,21.83,7.91
Storm,2013-09-19,action,125,EUA-PA,42.03,15.6,47.44,29.0
Aurora 2,2019-04-18,fantasy,113,Brasil,50.13,11.16,51.09,30.21
Mirage 5,2016-06-23,thriller,80,EUA-NM,34.13,14.8,31.08,13.94
Shadow: Origins,2023-05-01,thriller,90,Brasil-PA,15.41,3.04,18.77,8.21
MegaPik Rift,2018-08-16,sci-fi,146,EUA-NY,35.12,13.69,34.67,17.77
Paws 5,2016-01-12,animation,99,EUA-GA,26.51,6.13,29.33,18.74
Paws,2016-01-21,animation,106,Brasil-PB,18.09,6.64,28.5,16.82
Whisper,2020-06-25,drama,125,EUA,10.83,2.75,20.37,6.02
Odyssey: Afterlight,2012-04-19,adventure,123,EUA-NY,32.03,11.15,39.61,25.71
MegaPik Haunt: Legacy,2015-09-19,horror,101,EUA-CA,9.6,2.6,11.9,6.83
Rush: Uprising,2012-10-05,action,91,EUA-TX,42.12,13.42,63.39,35.9
Storm 3: Legacy,2025-09-11,action,121,EUA-LA,29.45,10.12,35.76,15.52
MegaPik Mirage,2023-09-15,thriller,98,EUA-TX,18.65,6.04,28.42,14.65
Pulse 2,2018-11-22,action,122,Reino Unido-SCT,22.65,8.06,23.38,15.29
MegaPik Paws,2019-07-25,animation,105,EUA-IL,45.48,14.46,45.36,14.39
Paws,2011-07-08,animation,103,Canadá-BC,71.75,28.16,64.32,37.99
Embers,2025-01-10,drama,100,Reino Unido-NIR,5.61,1.29,8.66,2.66
Embers,2017-07-13,drama,100,EUA-TX,13.8,4.43,11.89,3.98
Voyage: Eclipse,2014-11-13,adventure,124,EUA-PA,11.24,3.53,13.85,7.46
Eclipse,2016-03-03,sci-fi,129,Austrália-VIC,32.4,14.23,41.18,26.29
Paws: Uprising,2010-06-11,animation,101,EUA-GA,32.1,12.3,29.61,13.86
Eclipse 2,2023-03-16,sci-fi,127,EUA-LA,45.73,12.46,30.28,20.51
Shadow,2012-11-02,thriller,88,EUA-WA,11.68,4.32,8.14,2.86
Voyage,2014-02-05,adventure,128,Índia-WB,32.91,12.31,63.97,27.25
MegaPik Chronicles,2011-11-24,fantasy,136,EUA,19.57,10.44,21.49,13.77
Neon,2013-07-25,thriller,115,Nigéria-Abuja,23.84,6.93,13.25,6.35
Rush,2019-05-14,action,123,EUA-PA,83.35,33.25,93.54,72.07
Rift,2024-10-17,sci-fi,147,França-IDF,39.77,13.55,49.29,38.08
MegaPik Whisper 2,2025-01-23,drama,136,EUA-IL,6.87,2.6,23.16,3.4
Neon 2: Uprising,2023-08-22,thriller,112,Reino Unido-ENG,13.53,6.59,17.17,7.73
Paws: Eclipse,2021-09-16,animation,83,Brasil-SC,15.67,3.89,22.34,8.71
MegaPik Eclipse,2014-03-13,sci-fi,149,EUA-GA,58.1,23.5,47.08,31.52
MegaPik Neon: Uprising,2020-04-17,thriller,119,EUA-TX,10.75,3.2,14.31,2.35
Aurora,2018-02-19,fantasy,85,Brasil-AM,10.09,2.81,24.21,6.0
Whisper,2020-04-11,drama,153,Canadá-BC,8.52,2.58,10.96,2.88
Shadow,2022-04-21,thriller,80,EUA-NM,12.45,4.33,25.05,8.26
Quantum,2021-03-01,sci-fi,109,Espanha,36.9,9.4,62.72,41.7
MegaPik Whisper,2019-04-26,drama,128,Brasil-GO,15.14,5.27,24.51,6.91
Frontier 2: Horizons,2012-01-02,western,110,EUA-IL,18.06,5.08,22.41,11.33
Eclipse: Origins,2021-05-13,sci-fi,139,Japão-Kanagawa,35.01,13.21,36.39,26.18
Echo 2,2022-02-11,drama,108,EUA-NY,6.57,2.11,12.29,3.41
MegaPik Aurora 2: Horizons,2025-06-24,fantasy,112,Coreia do Sul-Gyeonggi,14.83,5.46,17.96,10.04
MegaPik Rush,2022-02-04,action,101,EUA-TX,21.37,6.8,37.01,14.4
Frontier: Eclipse,2018-05-26,western,129,EUA-WA,20.77,5.04,20.71,11.56
MegaPik Quantum,2020-12-17,sci-fi,105,Brasil-RS,49.94,10.22,29.6,24.11
Storm 2,2020-08-04,action,119,EUA-PA,80.99,31.1,100.64,51.46
Harmony 2,2010-02-12,romance,114,EUA-GA,11.09,4.04,27.69,9.2
Mirage,2020-01-16,thriller,94,EUA-LA,11.84,4.53,21.35,11.79
Storm 3: Reckoning,2016-01-14,action,117,Reino Unido-WLS,13.58,6.65,17.97,7.79
Quantum 2,2011-09-29,sci-fi,127,EUA-PA,36.97,13.58,46.13,25.67
Shadow,2017-11-16,thriller,112,EUA-TX,20.54,5.64,17.37,8.95
Storm: Afterlight,2010-12-15,action,131,Japão-Kanagawa,19.44,6.23,28.03,16.78
Haunt,2018-01-23,horror,100,EUA-IL,6.29,2.27,9.33,1.74
Whisper,2018-11-16,drama,110,EUA-IL,9.26,1.82,8.27,2.56
Voyage,2021-05-27,adventure,124,Brasil-AM,30.31,9.15,45.58,22.7
Storm 6,2023-03-03,action,121,Brasil-MG,87.24,42.74,70.35,57.27
Shadow,2017-03-03,thriller,112,França-NAQ,11.0,3.61,11.81,5.67
Mirage: Origins,2025-09-02,thriller,94,EUA-WA,10.59,4.27,13.79,5.3
Odyssey,2014-03-09,adventure,139,Brasil-AM,11.13,4.27,12.79,5.05
Frontier 2,2015-06-05,western,104,EUA-TX,12.7,3.71,9.63,3.2
Voyage 5,2018-04-05,adventure,130,EUA-LA,51.74,10.18,61.7,40.57
Frontier,2013-03-17,western,133,EUA-GA,13.68,4.31,16.77,5.45
Rift,2022-11-24,sci-fi,120,EUA-CA,40.8,12.83,35.91,25.16
Whisper 5,2022-06-10,drama,112,EUA-LA,2.95,0.86,1.73,0.36
Mirage,2021-07-09,thriller,105,EUA-NM,33.45,15.36,28.87,15.92
Rift,2022-09-18,sci-fi,143,EUA-GA,28.55,7.25,44.39,28.67
Chronicles,2016-12-15,fantasy,114,EUA-CA,42.92,16.97,33.7,21.94
Aurora,2020-12-04,fantasy,123,EUA-NM,166.26,60.08,111.5,94.28
Quantum,2020-11-20,sci-fi,127,Índia,32.06,13.83,33.63,25.34
Rush 3: Revenant,2018-10-07,action,108,EUA-LA,20.39,7.92,17.42,10.95
Mirage: Revenant,2023-06-30,thriller,111,Canadá,20.52,7.59,11.95,5.05
Voyage,2022-10-20,adventure,114,EUA-CA,40.33,13.7,70.29,45.11
Storm 4: Horizons,2018-02-19,action,140,EUA-TX,75.19,23.1,110.87,64.82
Storm,2018-06-14,action,99,EUA-NM,73.05,27.91,57.58,30.2
MegaPik Voyage,2022-07-01,adventure,118,Brasil,18.77,5.74,37.18,12.73
Echo: Revenant,2018-09-13,drama,102,Brasil,8.78,2.42,17.81,5.34
Frontier,2018-05-18,western,112,Brasil-PR,22.76,7.1,22.28,11.18
Paws,2022-06-24,animation,99,EUA-TX,22.74,6.28,19.41,7.82
Neon: Reckoning,2020-10-16,thriller,116,EUA-CA,19.95,8.52,25.52,6.69
Echo 5: Legacy,2021-09-16,drama,118,Japão-Aichi,7.81,2.68,10.47,2.58
Echo,2022-06-17,drama,111,EUA,8.27,2.33,12.54,2.71
Haunt,2014-12-17,horror,103,EUA-GA,14.5,4.87,14.75,3.8
Whisper: Eclipse,2017-03-02,drama,115,Brasil-AM,16.07,4.58,12.73,4.51
Chronicles,2023-08-11,fantasy,122,EUA-NM,15.46,6.68,22.49,9.09
Chronicles 3: Uprising,2015-01-08,fantasy,111,EUA-NY,34.68,9.38,61.47,40.92
Haunt: Afterlight,2023-08-06,horror,97,Reino Unido-WLS,14.04,5.33,25.37,12.4
Whisper 3,2013-11-14,drama,100,Austrália-WA,11.05,3.11,12.62,5.21
MegaPik Odyssey 3,2023-11-02,adventure,132,França-ARA,38.65,15.83,22.34,17.84
Echo,2011-03-24,drama,113,Brasil-AM,8.86,3.32,17.07,5.78
Quantum,2020-01-09,sci-fi,126,EUA-MA,20.1,8.5,16.28,10.32
Chronicles,2017-02-16,fantasy,148,Índia-WB,44.62,15.61,110.93,72.35
Pulse,2018-11-23,action,132,Brasil-AM,30.57,10.3,37.85,21.32
Haunt 3,2023-07-25,horror,97,EUA-NY,11.47,2.79,7.94,3.31
Aurora: Eclipse,2012-07-20,fantasy,114,Brasil,10.09,4.2,5.89,3.06
Eclipse: Revenant,2018-07-06,sci-fi,117,EUA-GA,67.99,22.9,86.43,52.76
Quantum,2016-10-11,sci-fi,139,Coreia do Sul-Gyeonggi,22.77,6.04,23.7,12.75
Mirage: Horizons,2023-07-06,thriller,108,Brasil-DF,22.97,8.09,25.68,13.27
Quantum,2023-02-01,sci-fi,127,EUA-PA,101.92,30.28,124.93,68.61
MegaPik Odyssey,2019-01-19,adventure,127,EUA-LA,15.2,6.26,24.99,8.0
Haunt 2,2010-11-18,horror,89,EUA-CA,12.84,6.23,13.28,5.17
Embers,2024-06-21,drama,114,EUA-WA,8.34,3.22,12.79,2.98
MegaPik Harmony,2016-10-27,romance,90,EUA-TX,15.4,4.42,11.2,6.11
Pulse,2022-10-27,action,112,EUA-MA,62.76,25.08,61.57,50.24
Embers 4,2025-05-10,drama,106,EUA-CA,16.07,4.23,14.92,6.93
Rift,2024-05-10,sci-fi,128,Brasil-PA,79.03,32.87,72.34,68.69
Embers: Origins,2023-10-20,drama,92,EUA-GA,10.17,2.66,14.86,5.24
MegaPik Storm,2019-07-05,action,107,EUA-TX,31.96,8.81,47.26,18.67
MegaPik Shadow 3: Eclipse,2014-06-27,thriller,100,EUA-LA,11.48,4.19,5.83,3.19
Mirage,2020-07-24,thriller,117,EUA-PA,18.28,8.11,11.15,4.55
Eclipse,2023-02-02,sci-fi,109,EUA,36.1,12.07,57.55,35.34
MegaPik Odyssey: Horizons,2014-03-27,adventure,111,França-ARA,16.26,3.21,31.47,18.28
Chronicles,2019-06-04,fantasy,140,Alemanha-BY,21.14,6.72,41.99,19.46
Mirage,2022-03-04,thriller,102,Canadá-ON,12.34,4.62,16.47,8.67
MegaPik Embers,2022-04-09,drama,107,Canadá-ON,17.03,4.35,23.23,9.76
MegaPik Harmony,2022-09-18,romance,133,Brasil,5.04,1.65,10.31,2.74
Aurora,2013-01-10,fantasy,116,França-ARA,27.1,9.71,31.1,16.79
Aurora,2018-05-11,fantasy,118,EUA-IL,14.76,4.17,13.96,7.43
Echo 2,2010-12-09,drama,134,EUA-MA,9.17,3.37,9.5,2.79
Shadow: Horizons,2022-10-13,thriller,109,EUA-TX,28.78,12.0,29.23,18.09
Rift: Revenant,2024-10-17,sci-fi,98,EUA,17.13,6.81,46.53,29.78
Storm 3,2021-07-23,action,115,Brasil-DF,37.83,13.36,26.96,18.65
Eclipse,2021-09-17,sci-fi,103,Alemanha-BW,28.9,9.32,39.62,19.8
Frontier 2: Origins,2018-10-13,western,131,EUA-NY,14.86,5.87,15.1,8.5
Voyage,2021-10-28,adventure,138,Brasil-CE,34.55,12.73,62.12,38.25
Rift: Origins,2021-11-19,sci-fi,138,EUA-IL,43.86,10.62,57.41,39.02
Shadow,2017-10-13,thriller,122,EUA-NM,20.43,6.87,29.35,20.88
Neon: Uprising,2024-12-10,thriller,92,Brasil-BA,25.56,10.46,26.85,12.56
Rift 2,2012-08-27,sci-fi,122,Brasil,41.19,10.09,48.26,36.98
Embers: Reckoning,2014-10-31,drama,112,EUA-NY,9.62,3.49,12.41,6.03
Odyssey: Afterlight,2015-03-13,adventure,116,França-NAQ,31.63,10.89,79.08,36.06
Whisper,2014-10-17,drama,134,Nigéria-Kano,8.54,2.83,10.81,2.42
Aurora,2015-12-27,fantasy,110,EUA-WA,18.65,5.45,22.07,8.4
MegaPik Aurora: Eclipse,2022-04-01,fantasy,122,EUA-MA,45.43,16.47,76.23,50.06
Quantum,2013-11-15,sci-fi,112,Brasil-RS,18.48,8.94,25.33,9.38
Rift,2016-08-19,sci-fi,134,EUA-CA,92.51,27.09,163.28,111.47
Paws,2016-02-13,animation,111,EUA-MA,34.49,13.18,23.06,16.49
Eclipse: Eclipse,2019-10-17,sci-fi,105,EUA-NY,63.79,28.96,63.4,50.72
Frontier,2016-07-07,western,121,EUA-NM,12.58,3.48,19.59,7.14
Storm,2023-01-03,action,116,Canadá-BC,34.39,12.23,49.48,32.45
Quantum,2025-11-14,sci-fi,119,EUA-PA,38.96,14.3,89.7,30.98
Odyssey,2012-04-24,adventure,121,Brasil-PR,15.0,4.61,13.0,7.32
Odyssey,2020-06-25,adventure,128,Canadá,35.17,8.8,38.69,32.63
Quantum,2018-09-10,sci-fi,88,EUA-IL,30.63,9.37,49.29,38.4
Paws 2,2015-02-06,animation,105,Brasil-SP,19.78,5.3,18.69,12.58
Paws 3,2021-03-11,animation,105,Brasil-PA,62.72,21.18,68.67,22.76
Haunt,2021-03-18,horror,100,EUA-LA,13.26,4.71,19.51,12.55
Paws 3,2023-06-16,animation,91,Brasil-SC,35.82,11.61,40.92,29.9
Odyssey,2012-06-28,adventure,125,Reino Unido-ENG,36.83,11.41,51.53,26.18
Haunt,2014-08-21,horror,103,Brasil-GO,2.64,0.75,0.85,0.47
Quantum,2019-01-17,sci-fi,130,EUA-IL,43.97,14.35,117.4,66.8
Odyssey: Origins,2024-06-12,adventure,146,Reino Unido-SCT,33.7,12.13,49.6,39.0
Embers,2022-07-07,drama,96,Canadá-QC,17.19,5.18,18.23,5.83
Echo,2017-09-07,drama,132,EUA-LA,5.48,1.46,3.66,1.01
Echo,2020-10-22,drama,134,França,17.31,3.29,22.68,7.68
Neon,2018-05-17,thriller,94,EUA-MA,17.92,8.89,23.7,11.63
Shadow,2024-11-28,thriller,102,Brasil,13.28,4.44,12.83,6.3
Haunt 3,2015-09-25,horror,106,EUA-TX,17.55,5.57,20.83,7.18
Haunt 3,2019-02-02,horror,93,EUA,26.56,11.77,35.32,25.79
Embers 3,2021-04-04,drama,119,Brasil-PA,13.4,4.16,28.88,7.89
Storm 4,2021-01-15,action,132,Canadá-ON,118.69,46.0,93.95,83.29
MegaPik Rush: Reckoning,2019-04-12,action,115,EUA-NY,39.6,13.73,40.72,29.39
Odyssey,2019-03-22,adventure,128,Brasil-GO,14.38,3.89,36.21,14.02
Chronicles,2023-04-06,fantasy,137,Brasil-SP,12.8,2.74,24.72,9.35
Eclipse: Revenant,2016-11-24,sci-fi,130,Espanha-VAL,41.48,12.67,45.6,36.0
Shadow: Afterlight,2022-03-24,thriller,113,Brasil-PR,13.71,3.47,18.63,6.26
Chronicles: Reckoning,2021-05-13,fantasy,130,Reino Unido-SCT,13.57,3.52,17.02,10.59
Haunt: Afterlight,2023-04-13,horror,96,EUA-LA,8.53,2.52,10.52,4.24
Odyssey,2020-03-13,adventure,99,Brasil-SP,18.86,6.97,16.22,10.27
Mirage: Legacy,2023-04-20,thriller,100,Nigéria-Lagos,14.64,5.39,15.31,4.74
MegaPik Storm,2020-04-23,action,139,Espanha-MAD,36.15,11.64,56.05,27.58
Neon,2021-09-02,thriller,109,EUA-MA,19.55,7.78,20.47,11.39
Embers,2019-10-25,drama,97,Brasil-GO,13.28,3.99,23.62,7.16
MegaPik Eclipse,2019-10-01,sci-fi,144,EUA-NY,20.94,6.16,23.87,14.63
Whisper,2020-05-28,drama,120,Canadá-ON,9.94,2.98,15.58,3.97
MegaPik Shadow: Legacy,2014-02-10,thriller,117,Brasil-PB,6.73,1.97,11.24,2.42
Chronicles 3,2016-03-26,fantasy,174,Alemanha-BW,28.96,10.8,38.77,17.02
Frontier 4,2013-05-21,western,111,EUA-WA,16.61,5.51,15.24,7.45
MegaPik Voyage,2012-04-17,adventure,130,Índia-KA,16.53,5.4,44.58,16.8
Frontier,2024-05-16,western,112,EUA-WA,21.25,6.05,87.42,33.02
Chronicles,2021-12-09,fantasy,138,Índia-MH,39.32,13.58,69.08,27.19
MegaPik Chronicles,2013-03-15,fantasy,116,EUA,15.79,3.74,23.67,3.73
Odyssey: Reckoning,2019-07-03,adventure,120,EUA-IL,35.09,11.72,42.37,18.35
MegaPik Mirage,2016-07-13,thriller,121,EUA-NM,14.07,5.09,13.78,5.67
Aurora 2,2023-07-07,fantasy,129,Japão-Osaka,49.3,17.13,75.48,41.75
Whisper 3,2018-07-10,drama,114,Brasil-BA,10.74,1.93,15.49,6.25
MegaPik Pulse,2025-06-12,action,137,EUA-MA,49.09,15.6,39.81,32.65
Haunt,2019-09-26,horror,89,Brasil-PA,9.67,3.06,15.63,5.74
MegaPik Haunt 2,2013-04-18,horror,107,EUA-WA,10.55,2.88,5.43,3.26
Voyage,2023-04-06,adventure,131,EUA,42.29,13.57,61.7,39.97
Paws: Reckoning,2021-06-11,animation,105,EUA-NY,40.35,15.64,39.76,21.06
Harmony: Revenant,2025-10-15,romance,93,México-CDMX,7.37,2.51,12.86,4.24
Harmony,2023-10-03,romance,106,Nigéria-Kano,15.2,4.38,15.92,7.9
Shadow,2023-06-19,thriller,137,EUA-LA,23.54,8.27,25.15,12.35
Echo,2017-05-12,drama,117,Brasil-PA,7.27,2.04,14.81,2.39
Pulse 2: Uprising,2011-12-09,action,123,EUA-PA,103.37,39.48,70.08,70.23
Rift,2014-02-27,sci-fi,125,EUA-PA,28.76,7.0,46.46,36.93
Chronicles: Eclipse,2021-05-14,fantasy,107,EUA-IL,18.48,5.16,18.2,5.82
Eclipse,2023-03-03,sci-fi,137,Reino Unido-SCT,28.94,10.25,56.8,26.08
Harmony,2024-04-12,romance,120,EUA,14.35,5.85,21.55,10.12
Frontier,2019-10-10,western,112,EUA-NM,27.44,10.78,33.76,17.25
Haunt 4,2019-12-13,horror,90,EUA-TX,27.17,11.98,26.59,8.45
Chronicles: Reckoning,2011-11-04,fantasy,114,Brasil-SP,24.47,10.93,60.11,35.98
Shadow 3,2020-07-23,thriller,94,Reino Unido,23.39,9.81,27.87,13.37
Pulse,2025-10-16,action,111,EUA-GA,117.77,46.05,94.4,70.57
Voyage,2020-03-06,adventure,116,EUA-NY,14.59,4.57,35.31,16.78
Haunt: Legacy,2025-05-22,horror,107,EUA-LA,12.0,7.2,23.38,3.93
Embers,2021-12-30,drama,111,EUA-PA,14.79,4.41,20.99,8.5
Pulse 3,2016-05-27,action,122,EUA-CA,106.5,32.48,84.9,85.0
Paws,2019-11-14,animation,107,Brasil-BA,28.05,10.64,18.46,7.76
Rush 3: Reckoning,2024-10-02,action,105,EUA-TX,68.18,25.21,84.19,64.03
Whisper 2: Reckoning,2023-04-21,drama,97,Reino Unido-SCT,2.69,0.76,1.3,0.28
Harmony,2021-04-13,romance,110,França-OCC,15.81,6.16,26.95,8.05
Voyage,2013-01-17,adventure,131,EUA-NY,15.8,4.31,25.28,10.91
Rift,2017-12-29,sci-fi,130,EUA-IL,83.38,20.32,47.46,36.67
Paws,2023-07-21,animation,115,Japão-Osaka,38.92,16.1,64.37,25.43
Pulse: Origins,2016-09-10,action,98,EUA-IL,49.12,13.56,69.83,43.33
Haunt,2025-05-26,horror,116,EUA-MA,19.91,9.74,38.83,15.96
Shadow,2022-06-13,thriller,127,México-JAL,14.97,5.53,19.29,7.75
Aurora,2020-06-12,fantasy,142,Brasil-BA,12.53,2.98,14.8,6.9
Haunt: Eclipse,2012-08-28,horror,121,EUA-PA,12.24,4.55,8.25,2.62
Frontier 3,2022-05-18,western,113,México-JAL,15.32,5.84,14.08,6.83
Paws,2017-03-03,animation,115,EUA-CA,23.36,8.95,47.45,17.65
Embers,2023-04-11,drama,132,EUA-WA,22.01,6.04,27.02,11.22
Chronicles: Horizons,2020-06-18,fantasy,157,Brasil,50.17,23.09,61.45,36.16
Aurora 2: Origins,2021-06-11,fantasy,131,Brasil-PB,18.42,5.35,19.07,16.92
MegaPik Pulse,2012-01-14,action,133,EUA-GA,12.74,4.6,22.9,9.2
Rush,2022-04-01,action,139,EUA-LA,40.24,11.94,51.29,33.36
MegaPik Voyage,2017-10-17,adventure,146,EUA-WA,24.95,7.04,33.29,17.37
MegaPik Odyssey 2,2022-07-22,adventure,112,Brasil-PA,49.31,12.25,42.5,36.21
Haunt,2017-05-25,horror,101,Canadá-AB,7.39,1.57,10.12,1.01
Harmony 2,2014-09-25,romance,94,Brasil-PB,10.17,3.36,10.82,3.18
Rush 2,2016-07-28,action,128,Brasil-RS,55.28,19.13,60.37,32.94
Odyssey,2015-05-14,adventure,116,EUA-PA,20.95,5.69,26.74,19.84
